,dates,CA,TX,WI
518,2012-06-30,0.0,7.6000000000000005,1.5
519,2012-07-01,0.0,2.8,0.7
520,2012-07-02,0.0,1.75,11.15
521,2012-07-03,0.0,2.0,10.100000000000001
522,2012-07-04,0.05,2.9,12.799999999999999
523,2012-07-05,0.0,0.1,0.2
524,2012-07-06,0.05,0.2,1.7
525,2012-07-07,0.0,1.8,3.15
526,2012-07-08,0.0,2.9000000000000004,0.7999999999999999
527,2012-07-09,0.0,10.75,0.5
528,2012-07-10,0.0,28.700000000000003,0.2
529,2012-07-11,0.15,15.5,0.05
530,2012-07-12,2.9,14.350000000000001,0.35
531,2012-07-13,6.45,7.85,6.6
532,2012-07-14,0.05,5.8999999999999995,15.55
533,2012-07-15,0.0,7.65,2.0
534,2012-07-16,0.05,5.0,1.4000000000000001
535,2012-07-17,0.0,5.25,17.6
536,2012-07-18,0.7999999999999999,4.95,11.5
537,2012-07-19,0.0,4.35,2.6500000000000004
538,2012-07-20,0.0,0.1,0.45
539,2012-07-21,0.0,0.05,4.4
540,2012-07-22,0.0,1.4,6.05
541,2012-07-23,0.0,0.95,7.05
542,2012-07-24,0.0,9.35,17.9
543,2012-07-25,0.0,2.05,22.65
544,2012-07-26,0.0,2.25,7.85
545,2012-07-27,0.0,3.1,5.85
546,2012-07-28,0.0,0.0,0.35
547,2012-07-29,0.0,0.0,0.95
548,2012-07-30,0.2,0.0,2.8000000000000003
549,2012-07-31,0.05,0.0,4.7
550,2012-08-01,0.2,0.0,3.3
551,2012-08-02,0.0,0.0,3.85
552,2012-08-03,0.0,0.0,0.25
553,2012-08-04,0.8,0.25,7.1
554,2012-08-05,0.0,0.7,0.1
555,2012-08-06,0.0,1.8,0.0
556,2012-08-07,0.25,0.8,2.15
557,2012-08-08,0.0,1.7,3.25
558,2012-08-09,2.1500000000000004,0.2,7.75
559,2012-08-10,0.25,0.44999999999999996,4.1000000000000005
560,2012-08-11,5.85,1.2,0.0
561,2012-08-12,4.35,2.6,0.3
562,2012-08-13,3.4,0.1,2.9000000000000004
563,2012-08-14,0.0,0.9,2.8
564,2012-08-15,0.0,4.7,3.75
565,2012-08-16,0.1,0.15,14.95
566,2012-08-17,1.7000000000000002,8.0,0.0
567,2012-08-18,0.0,11.15,1.75
568,2012-08-19,0.0,14.200000000000001,6.6000000000000005
569,2012-08-20,0.0,0.0,2.8
570,2012-08-21,3.5500000000000003,6.9,0.15
571,2012-08-22,0.25,0.55,2.7
572,2012-08-23,0.05,1.1,8.1
573,2012-08-24,0.0,0.9,8.35
574,2012-08-25,0.0,2.55,4.6
575,2012-08-26,0.0,12.5,4.55
576,2012-08-27,0.0,0.65,0.0
577,2012-08-28,0.1,8.100000000000001,0.05
578,2012-08-29,0.55,2.45,0.6
579,2012-08-30,1.85,0.39999999999999997,0.2
580,2012-08-31,0.0,0.55,9.35
581,2012-09-01,0.0,1.1,0.2
582,2012-09-02,0.0,0.0,0.0
583,2012-09-03,0.55,0.0,7.05
584,2012-09-04,2.05,0.0,0.3
585,2012-09-05,0.5,0.0,0.6000000000000001
586,2012-09-06,0.0,0.0,0.75
587,2012-09-07,0.0,0.75,7.6
588,2012-09-08,0.75,0.6,1.05
589,2012-09-09,0.45,0.0,0.15
590,2012-09-10,1.3,0.0,0.0
591,2012-09-11,0.4,0.0,0.0
592,2012-09-12,0.05,3.9,6.7
593,2012-09-13,0.0,16.05,4.9
594,2012-09-14,0.0,7.949999999999999,0.0
595,2012-09-15,0.0,0.05,0.0
596,2012-09-16,0.0,5.7,0.0
597,2012-09-17,0.0,2.75,8.6
598,2012-09-18,0.0,0.85,0.05
599,2012-09-19,0.0,0.1,3.4
600,2012-09-20,0.0,0.0,0.65
601,2012-09-21,0.0,0.0,5.65
602,2012-09-22,0.0,0.0,1.05
603,2012-09-23,0.0,0.0,0.0
604,2012-09-24,0.0,0.05,0.0
605,2012-09-25,0.0,0.0,0.0
606,2012-09-26,0.0,0.1,0.0
607,2012-09-27,0.0,1.5,0.5
608,2012-09-28,0.0,5.4,0.0
609,2012-09-29,0.0,24.85,0.0
610,2012-09-30,0.0,3.85,0.0
611,2012-10-01,0.0,0.0,0.0
612,2012-10-02,0.0,3.05,0.0
613,2012-10-03,0.0,0.0,1.25
614,2012-10-04,0.0,0.35,1.1
615,2012-10-05,0.0,0.8,0.0
616,2012-10-06,0.0,0.65,0.30000000000000004
617,2012-10-07,0.0,0.25,0.0
618,2012-10-08,0.0,0.05,0.5
619,2012-10-09,0.05,0.1,2.95
620,2012-10-10,0.05,1.65,1.8
621,2012-10-11,5.8,6.949999999999999,1.5999999999999999
622,2012-10-12,0.15000000000000002,1.4000000000000001,0.8
623,2012-10-13,0.0,9.75,12.100000000000001
624,2012-10-14,0.0,6.8500000000000005,11.4
625,2012-10-15,0.0,0.25,0.05
626,2012-10-16,0.0,9.9,9.8
627,2012-10-17,0.0,0.65,10.35
628,2012-10-18,0.0,0.0,2.25
629,2012-10-19,0.15,0.0,3.65
